delay_bucket,orders,avg_review_score,avg_delivery_days
0-7 days early,22169,4.212399019696832,13.157198122837528
1-3 days late,2662,3.7659332321699543,21.076333922906752
4-7 days late,1819,2.3181049069373945,26.680848667867977
8+ days early,66480,4.321105634015786,10.126872919870081
8+ days late,3346,1.7273286197356286,42.456444099228484
