rfm_segment,customers,orders,gmv,avg_order_value,avg_recency_days,customer_share,gmv_share
Needs Attention,54439,54439,7426103.28,136.41145649258803,336.29846249931114,0.583120889479209,0.5616688228683642
New & Promising,36118,36118,5066986.08,140.28977462760952,89.90298466138768,0.3868763255425352,0.3832384225935499
Champions,931,2038,305122.29,151.07322131860263,88.2717508055854,0.00997236444653913,0.023077739561844557
At Risk,997,2075,248766.51,120.35231695085255,380.8004012036108,0.010679320465305597,0.018815304281732417
Loyal Customers,873,1808,174519.95,95.95245454462808,176.22794959908362,0.00935110006641102,0.01319971069450919
